Species	X421	X422	X423	X424	X425	X426	X427	X428	X429	X430	X431	X432	X433	X434	X435	X436	X437	X438	X439	X440	X441	X442	X443	X444	X445	X446	X447	X448	X449	X450	X451	X452	X453	X454	X455	X456	X457	X458	X459	X460	X461	X462	X463	X464	X465	X466	X467	X468	X469	X470	X471	X472	X473	X474	X475	X476	X477	X478	X479	X480	X481	X482	X483	X484	X485	X486	X487	X488	X489	X490	X797	X798	X799	X800	X801	X802	X803	X804	X805	X806	X807	X808	X809	X810	X811	X812	X813	X814	X815	X816	X817	X818	X819	X820	X821	X822	X823	X824	X825	X826	X827	X828	X829	X830	X831	X832	X833	X834	X835	X836	X837	X838	X839	X840	X841	X842	X843	X844	X845	X846	X847	X848	X849	X850	X851	X852	X853	X854	X855	X856	X857	X858	X859	X860	X861	X862	X863	X864	X865	X866
No_ZIKV	0	0	0	0.084785515	0	0	0.302875277	0.161109857	0	0.75563479	0	0.702985997	0.213547609	0	0.462854597	0	0	1.266109464	1.311159775	0	1.847656571	0	0.160338619	0	0.236756485	0	0.145180945	1.536092367	0.800074385	2.803251414	1.572342309	1.592377249	0	0	0	0	0.809807131	0	0.321794342	0	0	0.097263262	1.114742873	0	0.141081273	0.130169314	0.721631344	3.922330977	0.291897947	1.710473188	0.350595128	3.158751738	0.258223904	0.213324819	0.953539019	0	0.208401362	0	0	0.099042227	0	1.872435064	0.06289053	0.676714701	0.000565011	0	0.576104757	0.534842809	0	0.488986545	0	0	0	0	0	0	0	0	0	0.733063859	0	0	0	0	0.307897796	0	0	0	0	0	0	0.154137984	0.572465055	0	0	0	0	0.191770865	0	0	0.096293249	0	0.310043327	0	2.734524335	0	0.051663032	0	0	0	0	0.75233456	0.981946777	0	0	1.382754971	0.921074207	0	0	2.570928739	2.212390066	0.548088099	1.16864874	0.429615452	0	0	0	0	0	0	0	0	0	0	0	0	1.943309203	0	1.363259201	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108632472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065887485	0	0	0	0	0	0	0	0.101595792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229519795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652042845	0	0	0.3884458	0	0.333723818	0	0	0	0.412563239	0	0	3.837028924	0	1.203767942	0.091864544	0.934053087	0	0	0.184423507	0	0	0	0.007723874	0	0	0	0	0	0	0	1.061305894	0.551210705	0	0	0	0.982315459	0	0	0	0	0	0	0.167195446	0	0	0	0	0.480504528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.878138038	0	0	0	0	0	0	0	0	0	0	0	0	1.485148	0	0	0	0	0	0	0	0	0	0	0	0.353376798	0	0	0	0	0	0	0	1.511583503	0	0	0	0.279345675	0	0	0	1.062191602	0	0	0	0	0	0	0.012446508	0	0	0	0	0	0	0	0.526289853	0.220151107	0	0.357735962	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.434302721	0.357445564	0.285866137	0.245243157	0.399440685	0	0.380270588	0	0.017545285	0.308928729	0.932147692	0	0.552581609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584314067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	1.039334855	0.095586525	0.859632119	1.896474512	2.300941262	0.890463258	0.536009016	1.853235191	0.81605329	1.445878639	0.28792357	0.862722786	1.453871943	0.228016309	1.048365811	0.296827215	0.368847756	0.071913427	2.251833497	0.447155922	0.804594308	0	1.36131067	1.323239788	0.805874227	0.458485899	3.600775782	7.612681914	0	0.531038581	0	1.315824686	0	0.427504759	0.706147428	0.39474494	0.164492404	1.040858386	0.247997528	0.158775085	0	0.808571652	0.955023987	0	0.016422444	0	3.916638861	0.387183135	0.523036684	2.117256305	3.36357794	0.407033179	0.024923077	0.252064338	0.47107565	0	0	0	0.223111989	0.107140796	0	1.061664394	1.435266328	0.937366217	0.264503213	0.999812353	1.560445998	0.246040032	1.01226309	1.018748506	0	0	0	0	0	0	0	0	0	2.994455508	0.282193384	0	0.50625563	2.214763993	0.643401452	0	0.003691663	0	2.360517659	0.194552954	0.066393711	0.295185341	3.895528742	0	0	0	0	0.234132139	0	0.058064643	0	0.647905946	0.128708151	1.800874728	3.45935189	1.03130271	0.089596798	0.458334049	0	0.242312014	0	0.310291471	3.184042401	0	0.218541587	0	0.287147043	0.293173021	0.157363114	3.698906653	0.877011131	0	0.213824818	1.544704042	0.149612055	0	0.027181514	0	0.165823797	0	0.082851586	0	0.144877527	0	0	0.148521115	0.345035866	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189196307	0.043427023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008860527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016545584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.608054593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112846614	0	0	0	0	0	0	0	0.056371652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281193172	0	0.010742092	0	0	0	0	0	0	0	0.152866473	0	0	0	0	0	0	0.566742399	0.290916808	0.013382404	0	0	0.392399781	0	0	0	0	0	0	0	0
No_ZIKV	0.29068648	0.669510241	0	0.073079698	0.15194968	0.584482834	0	0.007543602	0.517829118	0.732040548	0.183237033	4.416318008	0.827703179	0	0	0	0	1.198341165	1.599833583	0	0	0	0.89947817	0	0.694991704	0.814110688	0	0	1.266510849	0	0	0	0.020776248	0	0	0	0	0	0	0	0	0	0	0.347269375	0	0	1.173239315	1.191100476	0	0	0	0.144712894	0.960871411	0	0.064550648	0.670389863	0.253442256	0	0.548473332	0.186317221	1.549100922	0	0	0.065154674	0	0.122753463	0	0.782971643	0.513987125	0.081123363	0	0	0	0	0	0	0	0	0	0	0.317033704	2.888741432	0.01570977	0.34078259	0.281965247	0.647553135	0.938810337	1.599768538	0.386853207	1.95145141	0	0.42502979	1.748586662	0	0	0	0	0.254797668	0	0	0.026530394	0	0	0	0.255772502	0.439796587	0.226885466	0.322684823	0.107047676	0.496605814	0.827938307	0.118586138	0.337010078	1.282689293	0.516778218	0	0	0	0.379914764	0	2.472935698	0.180296439	1.910975815	0	0	0	0	0.008936606	0	0	0.054360578	0.173415982	0	0	0	0	0.162510052	0	0.316881342	0
No_ZIKV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029149626	0	0	0	0.005257476	0	0	0	0.106587462	0	0	0	0	0	0	0	0	0.257663585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128203423	0	0	0	0	0	0	0	0	0	0	0.382193355	0.097982651	0	0	0	0	0	0	0	0	0	0	0	0.157675897	0	0	0	0	0.085914095	0	0	0	0	0	0	0	0	0	0	0	0.664195997	0	0	0	0	0	0	0	0.377113121	0	0	0	0.672443868	0	0.055142602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
